	tweet	class
2236	21 bitch bitch hella chillin also thanks tolerating friend	1
2237	22 talented drivers rt garrisonstudio really glad havent yellows havent yellows	2
2238	24_rozay_idgt mad cuz twan fuck bitch128514 httptcogoyzfou46i	1
2239	270 flappy bird suck dick lick balls swag	1
2240	2pac real af temptations thats exactly niggas getting money bitches	1
2241	2fine4cheapwineyahoocom 171datjollygirl used email address chat line bitches hittin 128530187	1
2242	2k coaches retarded would put 510 point guard 3 tho	1
2243	3 millionaires walked tripping bitch paid fight lmao	1
2244	3 things cant stand dealing bitch hit feet b stank ass breath c skank ass ways	1
2245	3 years today fucking retard fell love stupid wish coldhearted neverlovingsomeoneagain dontneedanyone	1
2246	300 bitches fuck wid	1
2247	30 mins natezoo919 n greco_joel pick trash meijernow u guys understand took 3 shots trip	2
2248	300 bitch hot done took flight	1
2249	3511 touchdown 28 clock michigan hoes	1
2250	37 dont like hoes	1
2251	4 fat hoes ina caddilac u tell jus lost dey luxury car ride virginityhoes happy lmao	1
2252	4 old hoes ponk dyke outchea girl talk	0
2253	4 stacks heels bitch feet car seat still smellin like 10 keys tell plug im lookin increase	1
2254	484192841908419 moke	2
2255	40 mins bitch drop	1
2256	416 know ya bitch kendricklamar	1
2257	4th rt mayaangeloufro beat pussy like snitched serve time state correctional facility 5 years	1
2258	4th long bitches	1
2259	5 bags chips 3 rice krispies 3 seeds 3 gummies pop tart crackers 3 powerades water yuhhh im good lol	2
2260	5000 white men pick trucks screaming nigger coach got nerve get mad missed free throw 128514128514128514	0
2261	540 still awake yay time chug coffee red bull foreseeable future hopefully pass behind wheel	2
2262	5sos trash	2
2263	5am whizzing crackers cats got ritzcrackers amp playing hockey lol crazycats httptcoa5zbvdxapx	2
2264	5s ugly thot bitch shoes	1
2265	5sos like come hang us u fugly oh side hoes left thnx	1
2266	5thharmony user followed unfollowed prude ass hoe	1
2267	6 217 hoes fat im big boned hehehehehe	1
2268	607 bout match wit dis nicca donnydinero	1
2269	7 pounds never fails make cry im bitch relate	1
2270	7 years later bitch still didnt learn lesson lol remember first major nude leak generation	1
2271	715 needs hurry chilly bitch	1
2272	810 girls u went hs look horrible dont wan na believe itim bout piss facebook hoes	1
2273	81614 mo govjaynixon let 8220kill crackers kill babies new black panthers hijack ferguson presser httptcoz2wko9ripz	0
2274	85 species birds reported chesterfield great backyard bird count many area httptcodtllzlxmpf	2
2275	85 species birds reported chesterfield great backyard bird count many area httptcoviwmjjjxot	2
2276	90 percent yo bitch 100 percent scrap	1
2277	90 niggas goofy act like bitches	1
2278	93 feature car 1 1503 yellow black feature car buck tag radiator support 673xx miles httptco1nknfzqbo9	2
2279	934 8616 got missed call yo bitch	1
2280	95 truly talented people ive come across retarded professionally 95 awful untalented people point polite	1
2281	99 percent trash dump sea missing good thing 8594 httptcocwc2lwcv3t httptcoy0kt02hlm1	2
2282	99 problems bitch aint 1	1
2283	99 problems bitch aint one	1
2284	peterdavidsonii point need discuss delicious vegan brownie busboysandpoets u st tastes	2
2285	well sucks kobe hes still filthy hate u want dont respect ur retarded	1
2286	gt rt kylegotjokes good pussy comes price tag	1
2287	bitch	1
2288	tho 8220_mashphatrabbit bitch wants included fuckin baldly bruh8221	1
2289	chick gorgeous fine pussy stinks	1
2290	person significant hoe cheating	1
2291	01takesthelead bitch use whipers	1
2292	05235fd083ad408 hick yes	2
2293	05professor thats happens getting pussy pussy twitter seems like clear cut choice hahahaha	1
2294	05professor charlie sheen could coach better crusty dusty yeah hired bryan price pitching coach	2
2295	05professor bet hes starbucks queer	0
2296	0beythelau huntermoore bitch gross fuck touchin saggy titties	1
2297	0ddment could fuck bowl graham cracker cereal	1
2298	0hallis0n bitch caught body week ago everybody catching bullet holes	1
2299	0xabad1dea hard qa time also pain mock unit tests	2
2300	1000gramsbee bitch	1
2301	10hsw myluca01 denisgorman nothing like waiting till last game season peddle shit website heeb	1
2302	10x90 fucktyler fugly loose hoe	1
2303	1corinthians126 blessjesus yesfeltand touched soles humanity stains impressions leaves reflections	2
2304	1corinthians126 booksofgodwidom proverbs 126 also laugh calamity mock fear cometh	2
2305	1corinthians126 holyspirit god still share secrets amos 37 blessings jesus	2
2306	1corinthians126 jesus genesis 219 ground lord god formed every beast field every bird sky initiating	2
2307	1d_nipples_ bitch fucking told sit seat yo dumbass come saying sitting bitch vote5sos	1
2308	1josh_warwick3 ashleyypat17 fag	1
2309	1mannyonly iamadamg_ jennyreyes42 bitches bitches	1
2310	1onlysolo fuc pussy nasty 128534128534128534	1
2311	1oyster1 maybe crow obama democrats mawbarmight well republican	2
2312	1sonofyahweh amp foolish proud selves roll eyes pretend dont see mock laff arrogant attitudes	2
2313	1sonofyahweh whips mommy belt arrested black womans real nigger yet got wanted death	1
2314	1sonofyahweh aint real nigger oh bad real nigga praise sonsof satan realnigger qualitaties im hating	1
2315	1sonofyahweh wonder run nose first yo real nigger amp white devil massahs man pointing another convince u less	1
2316	1sonofyahwehthey cry lost pussy emotional sissy get amp front hoes simple minds amp point brothas like	1
2317	1starflow 128514128514128514 bitches need tan	1
2318	1deep_williard marlin_fishyass old ratchet hoes bruh	1
2319	1stblock_rody pussy	1
2320	1stblock_rody yu ah hoe	1
2321	1usagrunt wonder charlie brown would say days	2
2322	2014samanthakay good enough fag	0
2323	21cvasquez little bitch ass getting tased get home	1
2324	22duces20 haha still little bitch though 128517	1
2325	253hippy bc shes cunt hoe bag	1
2326	2anow looks like plastic monkey doll	2
2327	2legit4that lmao 9995 excuse bitchi soundcloud	1
2328	2legit4that go cunt somewhere else	1
2329	2manylouboutins moneydriven stfu hoe fucking answer smack shit outta faggot aunt	1
2330	2sassymom glad im still trying figure emoticons damn motorola give bitch finger	1
2331	2trippymcneely trash im kickin yo ass	1
2332	37738921 reminds oreos lmao	2
2333	3carryonitems bitches far fuck us got el gran pollo way serves us well lex_gracie	1
2334	40oz_van iycmi cant get work done keep showin bitches	1
2335	44binko ima act like hit hoe pass like earlier	1
2336	4c_ryan fag rhymes gag	1
2337	5dimes fuck tonyyou greaseball piece shit	1
2338	7aidualc9 u said hoe 128514128514128514	1
2339	808noheartbreak hoes	1
2340	a875silva jezzzz_ gone die aint playin dawg bitches gone ruthless 128175128170128074	1
2341	aaroncarter push wall slowly take panties write alphabet ur tongue tight pussy	1
2342	abc time amend 14th amendment written protect newly freed ex slaves lived purpose time end anchor baby loophole	2
2343	ab_crispyy_andy laugh oreos lady gaga sunday day	2
2344	acmobbdeep madsbennett yeah run squirrels coons	2
2345	ac_hussle bitches hoes dont surprised	1
2346	agreasymonkey huntermoore faggot	0
2347	aj0427 ashactually hey dont always go sometimes three crazy bitches one suave mfer trick going	1
2348	aj0427 watched llewyn davis doc warm fuzzies abound 978665039	2
2349	alaquannd laughing hoe	1
2350	alatrice16 beautiful bride tell erica congrats remembers nig	1
2351	aprivilege lmao brutal nigs cant get jobs lol	1
2352	asap_rocki_ huhwhatsacondom sighs 1 bitch im woman learn difference 2 know im fat 3 called scarf dumbass	1
2353	asipof_mocha dr phil im trouble figuring fat ass wants eat drinks bitches	1
2354	asourappletree heard hillbilly grousings bugs much worse kv since mic shut	2
2355	a_brown_30 cleaned entire fucking weight room looked like tornado went bitchcmon franklin franklin_probs	1
2356	a_little_wicked thats ghetto thats sweet movie quote try	2
2357	a_m_perez little bitches proven wrong momsdemand gunsense	1
2358	aaronkeplin shut bitch	1
2359	abel312_ cuauhtli02 bruh im 2 blankets like bitch right	1
2360	abels_masochist youre ghetto tho live hood ghetto facts	2
2361	abrehamdadi bitch	1
2362	abstractlife man much damn giggling going offering 40 tips shit lol think even heard bitch spit couple times	1
2363	abstractlife two trash ass passes know damn well saw 2nd 3rd santos game	1
2364	abstractlife yeah cant lie tho spitting cop car right bitch ass feels damn good	1
2365	abusivemen youre fucking pussy	1
2366	acaciabrinley crusty hoe	1
2367	acealford_23 double game bitch	1
2368	acehudsonjr bitches tryna take money g	1
2369	acewuzhere talking 5 almost 6am ain8217t friends pussy	1
2370	actabunnifoofoo like gross yellow heat lamps	2
2371	actuarialreport weve tried time go sits silence cry like bitch sweat	1
2372	adambaldwin chicodelainky clams comedy writer untrue	2
2373	adambaldwin really bro retard sentedcruz even missed point greeneggsampham means dont knock til ya try	1
2374	adamharmon jeffjeffallen yeah tht bitch aint gay brah chill	1
2375	adamschein themayormatt may cried tad illmissu shiner	2
2376	adogg_34 rt jb_barker10 snapchat got hacked hoes explaining httptcotworxrojei	1
2377	adolfhibsta ive seen number bitches say theres thing loose pussy lol ok	1
2378	adrian1_knowsu 975765039no ghetto names 128581	2
2379	adrian1_knowsu nigglet 128530128536	1
2380	aidaapple14 imma bitch know leave alone	1
2381	airsimba9 dont hoes hoes snapchat	1
2382	air_zeke_12 hell yeah got bokoo hoes fro	1
2383	ajkfan big congrats expect blogging rube chat days get sleep need	2
2384	alanmilner morning_joe alqueda doesnt use cell phones internet wow teabaggers stupid	1
2385	alan_casillas bitches wat	1
2386	alan_casillas haha shit niggah wish	1
2387	alan_casillas lol bitches riverside la ahah	1
2388	alan_casillas nah thought u bitches lol didnt know peters girl one lmao	1
2389	alan_casillas niggah lol 6 beers went bar 4 beers bar got 12pck way home lool	1
2390	aleeed_ bitch u love	1
2391	alejandro_bihhh capodaasshole texting bitch	1
2392	alejandro_bihhh capodaasshole im hoe like every night tweeting bullshit	1
2393	alejandro_bihhh capodaasshole lol cause hoes love	1
2394	alejandro_bihhh capodaasshole yall niggaz aint never listen slow shit bitch	1
2395	alejandro_bihhh lmaoooo hell naw bro havent seen hoe	1
2396	alejandro_bihhh lol bout say shit income tax im tryna find bitch couple weeks	1
2397	alexalltimelow jackalltimelow please stay safe guys love much hoe one day meet guys happy halloween	2
2398	alexdunlapnfl bdoe_klbj evil son bitch deserves everything thats coming	1
2399	alexschnider niiice nigga schinder pullin hoes	1
2400	alexadelsanter bad bitch wonder manners go	1
2401	alexadelsanter karma bitch	1
2402	alexisdiamond_ bitch stop fucking playin know wtf im talkin	1
2403	alexismota29 niggah lying 128514	1
2404	alfieheydrich seen pic nigs robbing store caption saidprotesting gos fergerson lol dont like pigs either wtf	1
2405	alfieheydrich live south lot pop lives rhode island hardly niggers	0
2406	alicia112794 basically like background music fag	0
2407	aliciadaniella8 hoes trash	1
2408	alissawasheree trippin bitch 128533	1
2409	alleyesonkie 128514128514128514 real rap fucked bitch lay day thats really disrespectful like bitch u couldnt feel throw coming128530	1
2410	allfucksgiven_ like hoe gettin dick day tonight gettin	1
2411	alliebruner stop mean bitch	1
2412	alliebruner main bitch	1
2413	allielexilove like dark light carmel white red tan yellow blue purple green doesnt matter color	2
2414	alludra_aie remember keep skirt dark colored camouflages pan dimensional gore	2
2415	almightyvinny_ tonycranshaw22 richhomiemeezy hoes house tony spot mf	1
2416	almighty_woo said got workouts pussy	1
2417	alysiarianh cambreezy_ dont call buddy cambron retarded man smh thats rude	1
2418	ampowerblog least agree whining like little bitch someone threw phone absolutely hilarious	1
2419	ampowerblog haha says little bitch let someone take phone real man wouldnt let happen little bitch would	1
2420	ampowerblog man pussy coward overpowered easily took clearly much less man	1
2421	ampowerblog incessant whining like worthless little bitch funniest thing happened weekend man	1
2422	amandabynes yea always looks niceall monkey faced women see around santa monica looks better natural beauty dontbedumb	1
2423	amandashow__ bet good pussy	1
2424	amazinmixbeauti dont feel like reading right wan na give sexy coolie girl lyrics via text message	2
2425	amazinmixbeauti wan na gim baby look coolieit might could work lol	2
2426	ameezysangels96 im trash	2
2427	americaanti youre dismissed bitch mood fucktards morning blocked darknight420	1
2428	americanmirror praedor cop bitch slapped wan na b st thug got tm got dead see dont slap cops r law	1
2429	americanwhitehm hate nigger	0
2430	americanwhitehm niggers disgust dealt 100 years ago wouldnt problems	0
2431	american_pye bitch would rather fuck poster damn thats cold	1
2432	amireldouh jwheels3 ali hoe	1
2433	amizzyy_ lol hoe numbers	1
2434	amor_anjel right come wait another 9 months naaaawwwww 9995 could pimpin hoes lol	1
2435	amosporr congrats amos	2
2436	anuglynigga retarded	0
2437	anastasiapacana iheinz201 stfu thinks ugly hard look get fuck chat faggot block oct 30th 1am	1
2438	andreberto cant wait peds roid munching faggot	0
2439	andreaa_olvera prego bitch	1
2440	andreaa_olvera shut fuck hoe ass bitch fuck squirtin ass cunt hoe	1
2441	andreaa_olvera smd bitch	1
2442	andrewjburns1 tommy_russell_ homo ass crackers	0
2443	andrewjburns1 would got dat new monopoly wit da cardsill hold n see hoe let nigga swipe credit	1
2444	andrewtaran thats nice color combo love blue yellow	2
2445	andyherren aarynelizagries cry baby bitch	1
2446	andyheybro distant chugs end dried remain perfectly heavy guitars ever recorded	2
2447	anellesofia didnt call bitch saiddd bitch jeesh	1
2448	anellesofia spook shit	1
2449	angllee2500 aint nobody offending u fuckin peckerwoods despise good white ungrateful honkey	1
2450	angrywillhelms genius politically correct term would intellectually disabled highly offensive use word retarded	2
2451	animeking420 fight 1 1 ur choice game faggot see happens	0
2452	anita_farid angjly lmao 128514 side ho gets real action anyways	1
2453	annacoman2 principle ghetto elementary school doubt fingers crossed128527	1
2454	anony386 turntolive tweenki_ wrong nigger always causung mischief among ur people	0
2455	anotherpotheadd lucky monkey	2
2456	ant_dgk buckm00se chainskibum would faggot survive tj	1
2457	anthonycumia totally correct anthony can8217t livin round dem colored folk day bringin da hood dem propery value	0
2458	anthonycumia cokelogic hey antony speaks colored good	2
2459	anthonycumia enjoy itim happy youbut hate yankeesand yes sox choke	2
2460	anthonycumia dont bitch power goes like last time	1
2461	anthonycumia pussy	1
2462	antiheroko bitch foh	1
2463	antoniofrench you8217re going 2have 2 kill crackers amp babies8221 new black panthers credibilityshot fergusonriot justice4mikebrown	0
2464	ants_sneweather well got see pompom pete	2
2465	apevontarskin smdh another bitch	1
2466	apevontarskin fuck u ugly ass bitch	1
2467	appleciderpapi ogbeard godievel nah u fag	1
2468	aram2432 marco_spatula invited fag	1
2469	aram2432 class nig	1
2470	arbogucci guys supposed get ass sucked queer	0
2471	arcticfox2016 everybody mocks obama hes embarrassment usa	2
2472	arctic_nation yeah bitches aint shit tho	1
2473	are_ohh_bee bitch see bitch good luck	1
2474	are_ohh_bee bitch joined fucking army us around bitch like fuck rob go fuckin army	1
2475	ari_tweetz lol na bitches like crazy good 128064	1
2476	arianagrande bitch cumwiththewind	1
2477	ariestheog cut bitch	1
2478	arlisdonotchill chiefkeef3oo wheres bitch wit sammich	1
2479	artalegaspare bitch got flameeee	1
2480	artbylecardin amy0813amy deeiiggee world sees 2 faggot jungle bunnies fucking one got pregnant	1
2481	artbylecardin deeiiggee amy0813amy 128529 note im dis bitch	1
2482	articulate_aura bitches dont know wan na play basketball look sexy bro	1
2483	articulate_aura bro know cant comment stupid shit like thatbitch instagram heart attack plate	1
2484	aryanliving welcome movement anyone gets even minor publicity queer fed jew well according internet	0
2485	asaptwelvyy bruh bruh bitch aint loyal	1
2486	asaptwelvyy hoes	1
2487	ashlynohma wtf dmd bitch	1
2488	astroscounty jeff luhnow blame astros blowing red sox yankees hc	2
2489	asvprvchel kittty_jpg nosfiend215 nah im forreal yall pussies smell like dried crusty fish guts	1
2490	asvprvchel kittty_jpg nah bitch stank	1
2491	atblackface mrmooncricket uncleunco bobbybotsods fuckthemallcops racistnegro69 ape fuck u broke ass racist	0
2492	atblackface mrmooncricket uncleunco bobbybotsods fuckthemallcops racistnegro69 fuck u bitch	1
2493	audeldavid_24 rt elleszczepanski hoes aint loyal bjames055	1
2494	auroramwj marylmcaffry bbanimals mutation genealogy convoluted basically zebra gene currieries slaughteredextinction	2
2495	austinburge44 either way schools trash 128521	2
2496	austinburge44 pussy ass schedule	1
2497	austing1135 like talking faggot nicely way fag	0
2498	austing1135 answer snapchat faggot butthurt	0
2499	austing1135 go sleep faggot	1
2500	austing1135 one keeping faggot	1
2501	austinz18 128514128514128514128514128514 wait see fucking cunt ass mine128548128548128548128548	1
2502	austinthaintern johnny football trash man trash lol	2
2503	autyaut_ miss eating speak miss red bone cooking 128553128553128553128525128525128525128542	2
2504	autyaut_ bitch add	1
2505	averycash dallyjackson coal_daddy tharock10 youtube could died called mom bitch lmao	1
2506	awill_2reckless bruh go like bitch thoe lol final match	1
2507	awill_2reckless lmao omm see bitch tryna act like aint feel ahaha	1
2508	awill_2reckless lol matches early 90s ic champion bitches really would go ham	1
2509	awint94 ppl pissed basically saying suffer tourching tht bitch	1
2510	awwyeahmaddie youre bitch though	1
2511	aydontjudgeme come stop bitch cause im bout get	1
2512	aymrcarter niggas pussy shit	1
2513	aydren cause youre sexy bitch	1
2514	ayefuckwoody coryburgess87 literally eat asshole living actually faggot seem little confused	0
2515	ayymartt bitch	1
2516	bamitsjustmary bitch moan tears	1
2517	bb16zachrance arianagrande ohgtgtgtgtgt thats bald bitchltltltltltltlt	1
2518	bbcandice dorothy5334 joygrenade u cant talk without talking ur cunt mama im thru talking	1
2519	bgally17 ur faggot teammate brandonprust8 hits someone late like u say hes yapping yelling u guys def 69 room	0
2520	bg_ramboe man shut yo bord ass want hoes cdfu stay fuckjng wid mann	1
2521	bh_dragons hes fucking trash	1
2522	biackiechan theuncurvable tonedagawd curtdatnigga lmfaoooo thats fag shit man	1
2523	blholla dick pussy precious give ruined bullshit done	1
2524	blue_yupp finger throbbing pussy slowly cum ur face	1
2525	bms_thadcastle account incredibly retarded	1
2526	bnightengale feinsandnydn time ranger scouts head watch yankee prospects rangers	2
2527	bossbitchdaphne dyke128514	1
2528	bridifferent bishhhhhh waasup bitch	1
2529	bridifferent good dnt sucker sad mad bitches	1
2530	bukpsychodrama followed vice lord dats rns listening nigga since magic almighty hoes	1
2531	bunnydahoney lt got hoes	1
2532	b_mcc10ud thats meant toward dads gf shes bitch dude	1
2533	b_stewart9 quit bein little bitch b	1
2534	babyxshad hoes twerking heavy	1
2535	baconparadox two year old oreos_	2
2536	badassjae fuck school boring ghetto	1
2537	badbitch_amen joeanoaireigns put bitch shame128514128514	1
2538	bakarit bitch	1
2539	ballbagsteve hoe b4 brossmh	1
2540	ballout057 im otp bitch hold	1
2541	ballardtheg_ get nigguh streets	1
2542	bam_n_deymouth grindin cuzz thats shit dont stop wats good witcha thou bitch mia	1
2543	bam_n_deymouth already know ima keep trillahappy bday lha bitch love yu nigga	1
2544	bangxbroz right pussy	1
2545	barackobama marchforinnov send damn beaners back belong n us aint	0
2546	barackobama michelleobama omfg elitist bitch one cares think go fuck china anyway	1
2547	barackobama biden winner last night yea right like charlie sheen really winner winning lol	2
2548	barackobama glad brought kid home fucked face ucmj dont care taliban pussies really	1
2549	barackobama l voted supported u u pulled rug us nation worse cuz circle trash	2
2550	barackobama make weed legal pussy know smoke shit	1
2551	barbaraf321 thirtybirdy wow white people crackers guess one u	1
2552	barbienixon moment silence bitch changes name everyday	1
2553	barbod6fcb _cblaze oddbeast cracker jack shut fuck	0
2554	barbod6fcb gon na shut shit bitch u get yo punk ass hoe ass nigga	1
2555	barbod6fcb oh really thats word u wan na see bout dont wan na hear u gon na want see bitch	1
2556	barbod6fcb u lame bitch get fuck gay shit	1
2557	barbod6fcb wigga wigga wigga wigga wigga	1
2558	barnabyedwards bsilverstrim77 dear daily mail misogynist pile twats	1
2559	barneyfranken jennykutner salon salon chuck full butthurt liberal retards	1
2560	basedboy_bob nigga said woke bed fulla bitches aint een fuckin idc shit bout 10x harder	1
2561	based_saiyan grandpa better comebacks hes dead faggot go outside let go little ass dick minute	1
2562	basketballpics whoever made twitter doesnt like lakers r making comeback accnt still continues trash talk em	2
2563	beamiller dumb bitch stfu	1
2564	beanrozay im tokyo get higher jet killing dog ass hoes send em vet produced tnkthemonstah	1
2565	beattyjustin kyoppcoalition bitch gon na women	1
2566	beattyjustin kyoppcoalition one proud hillbilly	2
2567	beattyjustin kyoppcoalition obamas bitch	1
2568	beautifulcallen nigger lol thts offensive lol xmas iite couple drinks fine ninja xmas lol	1
2569	beaviscumia jimmysdong dat cat gon na scratch dat colored boy gon na end da chow mein	2
2570	beekayns alas proficient neither skills limited pointless stat memorization trash talk	2
2571	beenbasedb nigga think mick foley	1
2572	beenslimm dont want one new bitches morphed super playa see world	1
2573	bekysawyer boats hoes	1
2574	belbert11 buhrowaustin well looks like ill buying two big bitch box busch na 128129	1
2575	bengybenfrank niggah follow back 128529	1
2576	benny_balboa lmfaoo yu stupid lha bitch knowing 10yrs never hoeever	1
2577	benny_balboa yall thou yalll fucking glad bag trash	1
2578	benny_balboa tell boy hoe called	1
2579	benny_balboa yall fucking trash boyy gladbagflow	1
2580	betodavidthomas jessecanon bitch mom didnt call	1
2581	betodavidthomas jessecanon lmfaooo oh well fuck bitch	1
2582	bettinavla 9975ts senwarren shes another straightup conscienceless liar soulless criminal trash	2
2583	beyondtomcat youd like wouldnt fag	0
2584	beyond_fatal bitch bruhhh	1
2585	bidenshairplugs looks like fag time line boring zzzzzz	0
2586	bigcatcooke deserved victory elite8 awaits orange army sweet16 disgrace collegehoops ill back next time hoosiers	2
2587	bigd757 bad hes faggot	1
2588	bigdaddysniper far asf nigguh	1
2589	biglovemusic bruh wont happen cuz see big bitch strikes	1
2590	bigquinn_liam rj_diego11 get volcano yet faggot	1
2591	bigred2ots prolly got bomb pussy lol hope haha	1
2592	big_jim777 bitch	1
2593	big_jim777 happy birthday dirty little bird 128520 tear 127867127881127880	2
2594	bigfinehorseee gone eat bitch	1
2595	billperiman po_st bet would gone ape shit killed attacked muslims	1
2596	billperiman offgridsurvival holy fucking hell going epa overzealous cunts cant wait 2016	1
2597	billperiman like put looking race colored glasses kel_antoinette8	2
2598	billperiman send fucking muzzies home doj come get motherfuckers	1
2599	billratchet vottomanempire place pussy stache let pussy take ride	1
2600	billionairecrow neelahrelates whats wrong white race fuckin coon slaying piece poop please die alone	0
2601	billythathird dimi_artale aye da fawking ginzos fawking queens fawking nassau	1
2602	billythathird matt_sliwinski copy tweet ginzo	2
2603	birdieb420 lets record song bitch right nowb	1
2604	bitchimfancy lol retarded	1
2605	bitchimastunna veshaacouture lmao bitch shut	1
2606	bitchmedia whats bitches shout momz cali keep doin u loveit	1
2607	bitcheslovestar one marys friends like bitches dont exist 1285141285141285641285641285641285641281649995999665039	1
2608	bitchslovemosa bitches really love mosa though mosagang httptco0g1j8bibpl	1
2609	bitterchick dare one bag dat folks suckin comes yo partayyyy da ofay wantin ride eldorato	2
2610	bitterchick dat means get fuck hoe thinkin	1
2611	bitterchick hellobaphomet yall crazy white bitches wants lay wit bowf	1
2612	bittytang sure think women self hate therfore collectively women bitches becomes campaign men follow	1
2613	bittytang yes protest sexism go right home beg guy beat pussy im lost times	1
2614	bjwalkinrivers bro hoe live	1
2615	blacclabelle_ 978665039nice avi lil nigger	1
2616	blackmanusa chrislhayes well thats cracker jack secret service work jfk anyone	2
2617	blackmanusa texasdivepro historical point cracker term irish settling woods midatlantic hardly offensive	2
2618	blackmanusa youre killin man lt3 conservatives racists like nbp hate honkies	1
2619	black_angelo25 chill cuz youll regret bro hitting hoe rn quit	1
2620	blackberrytroll blah people determined think condescending bitch loss	1
2621	blackman38tide ha bitch im pickin beach babes left n right west coast httptcoldxnpohlyd	1
2622	blackman38tide bandana orian called trailer trash wearing lil country getup 128545	2
2623	blackman38tide lmfao go bed whitey 128129	0
2624	blakeanderson21 jo_clark6 chicken fried steak boys mash potatoes gravy green beans corn ice cream brownies	2
2625	blakeanderson21 rollin coal bitches ready blow ready set go	1
2626	blakeanderson21 thanks hun haha	2
2627	blakeanderson21dalton_ryann justinmiculka01 bitch got crew hype still got ass beat tonight brought us	1
2628	blakkhoodie_562 always eatin good wit niggah good lookin cd boy got heat bump bangers	1
2629	blakkhoodie_562 fosho niggah il real busy lately	1
2630	blakkhoodie_562 yeah niggah played good lowkey wanted brazil win	1
2631	blizzylc ur tour come kick ya nig mia	1
2632	bloggerboxing studhardt22 jacob joshua picks similar love faggot ruslan well 2accountsgate	1
2633	bloggerboxing rianscalia pass fosters faggot	0
2634	bloggerboxing yeawhat maidana made greedy faggot loser atleast broner black	0
2635	bloodofjupiter yeahbitch	1
2636	blue_dreammn expectomichaela seriously first conversation status fb messaged calling fag lololol	1
2637	boazziz promised stand muzzies	2
2638	bobbybotsods fuckthemallcops uncleunco mrmooncricket fuck bitch	1
2639	bobbybotsods fuckthemallcops uncleunco mrmooncricket ur weird racist bitch	1
2640	bobbybotsods mrmooncricket fuckthemallcops uncleunco u eat inbred trailer trash	1
2641	bobbyrosee let hoes tell man	1
2642	bodybymalone lesson 12 dont pass 12 like lil bitch	1
2643	bojieasx slap taco tht hoe face 128514128514128514999665039128080128074128175128536128584128129	1
2644	bolanddrummer never life coffee shop like starbucks hick though	2
2645	bombfantasyyy angela_mastr lmao angela look like damn potato bitch keep talkin	1
2646	bombfantasyyy pearl jam yellow ledbettergt	2
2647	bonesaw00 theres reason yankees dont want anderson longer	2
2648	boner4tuna tcc_grouchy mrs__met vortmax29 llmajer dmb1031 aplmom frogtox kishkaandpipiks ive shots go yellow smoke	2
2649	boobah_ awnser phone pussy	1
2650	boobah_ trash	2
2651	bookoutbj thats ghetto super duper current generations best complement	2
2652	borgore pull panties ur teeth write alphabet w ur tongue throbbing pussy	1
2653	bosleyxavier trip acid bitches	1
2654	bossace555 sounds_good_bro bloggerboxing yea u stupid faggot im leaving till like 56pm want ride	0
2655	bossmelle never followed ignorant monkey	0
2656	bossman_carl lmaooo naw nigga imma stay right mentions hoe	1
2657	bossman_carl nigga didnt changeyall hoes tryna shoot know yall cant shoot	1
2658	bossman_carl wake ass hoe	1
2659	braxxxedelic fight shit say youre free lunch must game fucked cause youre colored like rest	1
2660	bradmich4real thats shit gon death hoesion like	1
2661	brandnewandrew lmaooo roosters hot trash bro u know	1
2662	brandi_nicolee get degree first bitch	1
2663	branninwgl ill say ya woman want couch plain sight outchea bitches simple	1
2664	branninwgl describing new pussy like baltimore love thing bitch	1
2665	braveconwarrior bitch mess bos fault	1
2666	braxcity29 maria_obregon_g sophia_freeman1 34 citizen said maria spic	0
2667	breadtruckkbri know playing hoe start 20 tho	1
2668	breeolson gingerbeard66 nasty nigger whore	0
2669	breesindacut got hoes yet	1
2670	breezypetey least went wasnt bitch	1
2671	brelston realized one links awakening killed two birds one stone unless youre getting wind fish	2
2672	brenjjgmom hweldon wellhow yankees year run wtfiswrongwithnebraska	2
2673	brendagisselca im mexican enough real beaners yet mexican americanized beaners	1
2674	brendagisselca got hoes damn	1
2675	brendagisselca hell perks hoe bullshit	1
2676	brendanschaub timtebow ugh tebow youre officially fag followed	1
2677	brenddan_ said bullshit damn niggers	0
2678	brenddan_ wow comin back 128514128514128514128514 bitch niggas	0
2679	bretvondehl com_lowery beat bitch seriouslywhat bitch	1
2680	bretvondehl damn bitch never answer anymore lmao jk ily anyway glad first show safe going next one	1
2681	bretvondehl younow fucking bitch shit load hate first broadcast	1
2682	briana_rashae id like rape bitch posted	0
2683	briannalovesa trick wait bird get close pipe tap screen never hit head	2
2684	briccone79 pvvrivierenland ja moest van plisie niet meteen wild gaan denkenjuistjawillen wel meer mensen mij vertellen hoe k moet denken	2
2685	brice2254 fuck faggot	0
2686	briscoefunnyguy _kaeejones got ta see hoe person cause im sleeping hoe	1
2687	briscoefunnyguy _kaeejones da fuck hoe look sad	1
2688	briscoefunnyguy lol still lil bitch	1
2689	brizgotti new nigga hipster hypebeasts love faggot ass bright colors nike keeps giving want smh	0
2690	broadwaymensa hoes women like center attention	1
2691	brocktonbitch niggas like fuckin roaches let one hot dam infested crazy bitch dig yo ass	1
2692	brodywaynelyles kids pussies got white trash kid amp thugnasty wan na 128514	1
2693	brotherdiabeats take queer ass dubstep	1
2694	brutal_brandy pacer 70s amp member loving hair dog came quadraphonic stereo could say bitchlol	1
2695	bryanbalsamo lmao u aint savage 128514128514 hoes everybody	1
